code,id,equipement_id,date,x,voie,horodatage,vitesse,longueur
M7i,6460,6460,2019-02-18 00:00:15.049,14148093033.0,1.0,4148.0,93.0,33.0
M7i,6460,6460,2019-02-18 00:00:26.549,5354096031.0,0.0,5354.0,96.0,31.0
M7i,6460,6460,2019-02-18 00:00:38.549,10050094039.0,1.0,50.0,94.0,39.0
M7i,6460,6460,2019-02-18 00:00:50.548,1469102037.0,0.0,1469.0,102.0,37.0
M7i,6460,6460,2019-02-18 00:00:56.549,11973117040.0,1.0,1973.0,117.0,40.0
M7i,6460,6460,2019-02-18 00:01:03.049,12478128038.0,1.0,2478.0,128.0,38.0
M7i,6460,6460,2019-02-18 00:01:09.049,13047100043.0,1.0,3047.0,100.0,43.0
M7i,6460,6460,2019-02-18 00:01:21.049,24393142047.0,2.0,4393.0,142.0,47.0
M7i,6460,6460,2019-02-18 00:01:33.049,15649103041.0,1.0,5649.0,103.0,41.0
M7i,6460,6460,2019-02-18 00:01:39.049,11139112034.0,1.0,1139.0,112.0,34.0
M7i,6460,6460,2019-02-18 00:01:51.05,11389114043.0,1.0,1389.0,114.0,43.0
M7i,6460,6460,2019-02-18 00:01:57.049,12530108043.0,1.0,2530.0,108.0,43.0
M7i,6460,6460,2019-02-18 00:02:15.049,14169121045.0,1.0,4169.0,121.0,45.0
M7i,6460,6460,2019-02-18 00:02:32.549,5647089043.0,0.0,5647.0,89.0,43.0
M7i,6460,6460,2019-02-18 00:02:57.049,1819114041.0,0.0,1819.0,114.0,41.0
M7i,6460,6460,2019-02-18 00:03:03.049,12867133042.0,1.0,2867.0,133.0,42.0
M7i,6460,6460,2019-02-18 00:03:09.049,13456116040.0,1.0,3456.0,116.0,40.0
M7i,6460,6460,2019-02-18 00:03:21.049,4619090037.0,0.0,4619.0,90.0,37.0
M7i,6460,6460,2019-02-18 00:03:27.049,5224076059.0,0.0,5224.0,76.0,59.0
M7i,6460,6460,2019-02-18 00:03:38.549,10357125045.0,1.0,357.0,125.0,45.0
M7i,6460,6460,2019-02-18 00:03:45.049,1004108042.0,0.0,1004.0,108.0,42.0
M7i,6460,6460,2019-02-18 00:03:50.549,21925105041.0,2.0,1925.0,105.0,41.0
M7i,6460,6460,2019-02-18 00:04:08.548,13635147042.0,1.0,3635.0,147.0,42.0
M7i,6460,6460,2019-02-18 00:04:15.049,14215122019.0,1.0,4215.0,122.0,19.0
M7i,6460,6460,2019-02-18 00:04:27.049,15819102040.0,1.0,5819.0,102.0,40.0
M7i,6460,6460,2019-02-18 00:04:39.049,10705120037.0,1.0,705.0,120.0,37.0
M7i,6460,6460,2019-02-18 00:04:45.049,11473101038.0,1.0,1473.0,101.0,38.0
M7i,6460,6460,2019-02-18 00:05:21.049,4858089045.0,0.0,4858.0,89.0,45.0
M7i,6460,6460,2019-02-18 00:05:27.048,15801103038.0,1.0,5801.0,103.0,38.0
M7i,6460,6460,2019-02-18 00:05:33.049,10217117041.0,1.0,217.0,117.0,41.0
M7i,6460,6460,2019-02-18 00:05:45.049,11309098034.0,1.0,1309.0,98.0,34.0
M7i,6460,6460,2019-02-18 00:05:51.049,12049090030.0,1.0,2049.0,90.0,30.0
M7i,6460,6460,2019-02-18 00:05:57.049,22745113040.0,2.0,2745.0,113.0,40.0
M7i,6460,6460,2019-02-18 00:06:03.049,3439111040.0,0.0,3439.0,111.0,40.0
M7i,6460,6460,2019-02-18 00:06:20.548,15100110044.0,1.0,5100.0,110.0,44.0
M7i,6460,6460,2019-02-18 00:06:51.048,1911084037.0,0.0,1911.0,84.0,37.0
M7i,6460,6460,2019-02-18 00:07:02.17,2418131040.0,0.0,2418.0,131.0,40.0
M7i,6460,6460,2019-02-18 00:07:03.049,3155095040.0,0.0,3155.0,95.0,40.0
M7i,6460,6460,2019-02-18 00:07:09.048,4168103043.0,0.0,4168.0,103.0,43.0
M7i,6460,6460,2019-02-18 00:07:15.048,24484111040.0,2.0,4484.0,111.0,40.0
M7i,6460,6460,2019-02-18 00:07:21.049,4945103030.0,0.0,4945.0,103.0,30.0
M7i,6460,6460,2019-02-18 00:07:27.049,15507101042.0,1.0,5507.0,101.0,42.0
M7i,6460,6460,2019-02-18 00:07:45.049,11439108034.0,1.0,1439.0,108.0,34.0
M7i,6460,6460,2019-02-18 00:07:57.049,2449086043.0,0.0,2449.0,86.0,43.0
M7i,6460,6460,2019-02-18 00:08:21.048,14984092043.0,1.0,4984.0,92.0,43.0
M7i,6460,6460,2019-02-18 00:08:27.048,15794099039.0,1.0,5794.0,99.0,39.0
M7i,6460,6460,2019-02-18 00:08:39.048,918113039.0,0.0,918.0,113.0,39.0
M7i,6460,6460,2019-02-18 00:08:44.549,11789095047.0,1.0,1789.0,95.0,47.0
